City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,fort bragg,35.139,-79.006,78.64,87,75,6.91,US,1723158138
84,lively,46.4334,-81.1498,75.02,65,0,8.34,CA,1723158354
85,westport,41.1415,-73.3579,67.82,94,100,17.27,US,1723158101
86,port hedland,-20.3167,118.5667,57.25,72,11,6.91,AU,1723158276
87,rongelap,11.1635,166.8941,83.57,77,93,16.42,MH,1723158361
88,bikenibeu village,1.3673,173.1241,89.56,62,40,6.91,KI,1723158363
89,cho dok,10.7,105.1167,78.78,89,3,4.65,VN,1723158365
90,tyumentsevo,53.3224,81.498,57.87,97,63,4.23,RU,1723158367
91,puerto natales,-51.7236,-72.4875,50.45,62,75,25.32,CL,1723158370
92,klyuchi,52.2667,79.1667,64.29,86,87,4.14,RU,1723158374
93,namibe,-15.1961,12.1522,62.78,79,0,5.93,AO,1723158376
94,le vauclin,14.5452,-60.8388,82.45,78,0,9.22,MQ,1723158378
95,doka,13.5167,35.7667,70.95,94,100,6.6,SD,1723158379
96,flin flon,54.7682,-101.865,69.64,40,75,9.22,CA,1723158232
97,carnarvon,-24.8667,113.6333,62.15,52,0,12.91,AU,1723158383
98,porto novo,6.4965,2.6036,74.86,82,17,6.58,BJ,1723158385
99,richards bay,-28.783,32.0377,71.55,41,0,11.95,ZA,1723158387
100,mount gambier,-37.8333,140.7667,45.7,99,60,5.37,AU,1723158388
101,wailua homesteads,22.0669,-159.378,83.19,68,20,11.5,US,1723158390
102,aleksandrov gay,50.147,48.5704,68.05,73,46,10.18,RU,1723158392
103,cooma,-36.2333,149.1333,44.83,72,100,0.67,AU,1723158394
104,fall river,41.7015,-71.1551,67.78,91,100,6.91,US,1723158396
105,harstad,68.799,16.5293,60.06,77,70,4.03,NO,1723158397
106,aljezur,37.3191,-8.8033,62.46,95,14,11.45,PT,1723158399
107,coquimbo,-29.9533,-71.3436,55.98,60,0,3.44,CL,1723158401
108,hithadhoo,-0.6,73.0833,81.19,76,100,9.84,MV,1723158403
109,petropavlovsk-kamchatsky,53.0452,158.6483,55.99,100,100,8.95,RU,1723158405
110,ilulissat,69.2167,-51.1,44.62,87,100,0.0,GL,1723158406
111,haiku-pauwela,20.9219,-156.3051,83.25,66,40,25.32,US,1723158408
112,san antonio de pale,-1.4014,5.6325,73.27,82,100,7.2,GQ,1723158410
113,taoudenni,22.6783,-3.9836,104.47,7,26,13.96,ML,1723158412
114,phang nga,8.4509,98.5298,74.66,97,62,1.95,TH,1723158413
115,inhambane,-23.865,35.3833,69.46,88,0,11.77,MZ,1723158415
116,ugoofaaru,5.6667,73.0,82.63,75,100,8.3,MV,1723158417
117,vyazemskiy,47.5378,134.7525,72.48,89,24,2.62,RU,1723158419
118,port mathurin,-19.6833,63.4167,72.09,75,48,19.48,MU,1723158420
119,bam,29.106,58.357,91.36,7,2,7.78,IR,1723158422
